symbol1,symbol2
KRTAP19-6,PROP1
COX6B2,PROP1
C6orf15,PROP1
UFSP1,PROP1
OXER1,PROP1
C19orf54,PROP1
C11orf1,PROP1
ZNF503,PROP1
FAM166A,PROP1
TMEM42,PROP1
PSMB11,PROP1
KHDC1,PROP1
AMPH,PPP3CC
CSNK2B,PPP3CC
HAX1,PPP3CC
BCL2,PPP3CC
THAP7,PPP3CC
MLH1,PPP3CC
BMPR1B,PPP3CC
CABIN1,PPP3CC
ITPKC,PPP3CC
AMPH,DEUP1
HGS,DEUP1
CEP57,DEUP1
PIAS2,DEUP1
TXLNA,DEUP1
ING5,DEUP1
USHBP1,DEUP1
SKIL,DEUP1
IFT20,DEUP1
PPP1R13B,DEUP1
ZNF655,DEUP1
DDIT4L,DEUP1
DGCR6L,DEUP1
DEUP1,DEUP1
TFPT,DEUP1
EXOC5,DEUP1
ESRRG,DEUP1
ZNF572,DEUP1
ZNF460,DEUP1
FBF1,DEUP1
KRT28,DEUP1
ZNF835,DEUP1
HAUS8,DEUP1
DGCR6,DEUP1
AMPH,ARL16
OPTN,ARL16
APP,ARL16
APBB2,ARL16
REL,ARL16
TARDBP,ARL16
GOLGA2,ARL16
TCF12,ARL16
DEUP1,ARL16
TCF4,ARL16
GLYR1,ARL16
AMPH,TERF1
ABL1,TERF1
BRCA1,TERF1
SH3GL2,TERF1
OPTN,TERF1
EIF4B,TERF1
SYK,TERF1
RLIM,TERF1
DDX21,TERF1
TRIP10,TERF1
HRAS,TERF1
SMAD2,TERF1
YWHAG,TERF1
TERF1,TERF1
TINF2,TERF1
DLG5,TERF1
PRMT1,TERF1
NBN,TERF1
ATM,TERF1
FGFR3,TERF1
DDX39A,TERF1
ZHX1,TERF1
GAPDH,TERF1
DBN1,TERF1
TBCD,TERF1
NAP1L1,TERF1
IPO5,TERF1
DNAJB1,TERF1
STUB1,TERF1
PRDX1,TERF1
PFKP,TERF1
FANCD2,TERF1
PA2G4,TERF1
PKM,TERF1
TALDO1,TERF1
PGD,TERF1
ALDOA,TERF1
GIT1,TERF1
UTP14A,TERF1
HIP1,TERF1
SH3GL3,TERF1
NUB1,TERF1
CFL1,TERF1
