,TCGA-2K-A9WE-Cancer,TCGA-2Z-A9J1-Cancer,TCGA-2Z-A9J2-Cancer,TCGA-2Z-A9J3-Cancer,TCGA-2Z-A9J5-Cancer,TCGA-2Z-A9J6-Cancer,TCGA-2Z-A9J7-Cancer,TCGA-2Z-A9J8-Cancer,TCGA-2Z-A9JD-Cancer,TCGA-2Z-A9JE-Cancer,TCGA-2Z-A9JG-Cancer,TCGA-2Z-A9JI-Cancer,TCGA-2Z-A9JJ-Cancer,TCGA-2Z-A9JK-Cancer,TCGA-2Z-A9JL-Cancer,TCGA-2Z-A9JN-Cancer,TCGA-2Z-A9JO-Cancer,TCGA-2Z-A9JP-Cancer,TCGA-2Z-A9JQ-Cancer,TCGA-2Z-A9JR-Cancer,TCGA-2Z-A9JS-Cancer,TCGA-2Z-A9JT-Cancer,TCGA-4A-A93W-Cancer,TCGA-4A-A93X-Cancer,TCGA-4A-A93Y-Cancer,TCGA-5P-A9JU-Cancer,TCGA-5P-A9JV-Cancer,TCGA-5P-A9JW-Cancer,TCGA-5P-A9JY-Cancer,TCGA-5P-A9JZ-Cancer,TCGA-5P-A9K0-Cancer,TCGA-5P-A9K2-Cancer,TCGA-5P-A9K3-Cancer,TCGA-5P-A9K4-Cancer,TCGA-5P-A9K8-Cancer,TCGA-5P-A9K9-Cancer,TCGA-5P-A9KA-Cancer,TCGA-5P-A9KC-Cancer,TCGA-5P-A9KE-Cancer,TCGA-5P-A9KF-Cancer,TCGA-5P-A9KH-Cancer,TCGA-A4-7286-Cancer,TCGA-A4-7287-Cancer,TCGA-A4-7288-Cancer,TCGA-A4-7583-Cancer,TCGA-A4-7584-Cancer,TCGA-A4-7585-Cancer,TCGA-A4-7732-Cancer,TCGA-A4-7734-Cancer,TCGA-A4-7828-Cancer,TCGA-A4-7915-Cancer,TCGA-A4-7996-Cancer,TCGA-A4-7997-Cancer,TCGA-A4-8098-Cancer,TCGA-A4-8310-Cancer,TCGA-A4-8311-Cancer,TCGA-A4-8312-Cancer,TCGA-A4-8515-Cancer,TCGA-A4-8516-Cancer,TCGA-A4-8517-Cancer,TCGA-A4-8630-Cancer,TCGA-A4-A48D-Cancer,TCGA-A4-A4ZT-Cancer,TCGA-A4-A4ZT-Normal,TCGA-A4-A57E-Cancer,TCGA-A4-A57E-Normal,TCGA-A4-A5DU-Cancer,TCGA-A4-A5XZ-Cancer,TCGA-A4-A5Y0-Cancer,TCGA-A4-A5Y1-Cancer,TCGA-A4-A6HP-Cancer,TCGA-A4-A772-Cancer,TCGA-A4-A7UZ-Cancer,TCGA-AL-3466-Cancer,TCGA-AL-3467-Cancer,TCGA-AL-3468-Cancer,TCGA-AL-3472-Cancer,TCGA-AL-3473-Cancer,TCGA-AL-7173-Cancer,TCGA-AL-A5DJ-Cancer,TCGA-AT-A5NU-Cancer,TCGA-B1-5398-Cancer,TCGA-B1-7332-Cancer,TCGA-B1-A47M-Cancer,TCGA-B1-A47N-Cancer,TCGA-B1-A47O-Cancer,TCGA-B1-A654-Cancer,TCGA-B1-A655-Cancer,TCGA-B1-A656-Cancer,TCGA-B1-A657-Cancer,TCGA-B3-3925-Cancer,TCGA-B3-3926-Cancer,TCGA-B3-4103-Cancer,TCGA-B3-4104-Cancer,TCGA-B3-A6W5-Cancer,TCGA-B9-4113-Cancer,TCGA-B9-4115-Cancer,TCGA-B9-4115-Normal,TCGA-B9-4116-Cancer,TCGA-B9-4117-Cancer,TCGA-B9-4617-Cancer,TCGA-B9-5155-Cancer,TCGA-B9-5156-Cancer,TCGA-B9-7268-Cancer,TCGA-B9-A44B-Cancer,TCGA-B9-A5W7-Cancer,TCGA-B9-A5W8-Cancer,TCGA-B9-A5W9-Cancer,TCGA-B9-A69E-Cancer,TCGA-B9-A8YH-Cancer,TCGA-B9-A8YI-Cancer,TCGA-BQ-5875-Cancer,TCGA-BQ-5875-Normal,TCGA-BQ-5876-Cancer,TCGA-BQ-5877-Cancer,TCGA-BQ-5877-Normal,TCGA-BQ-5878-Cancer,TCGA-BQ-5878-Normal,TCGA-BQ-5879-Cancer,TCGA-BQ-5879-Normal,TCGA-BQ-5880-Cancer,TCGA-BQ-5881-Cancer,TCGA-BQ-5882-Cancer,TCGA-BQ-5882-Normal,TCGA-BQ-5883-Cancer,TCGA-BQ-5884-Cancer,TCGA-BQ-5884-Normal,TCGA-BQ-5885-Cancer,TCGA-BQ-5886-Cancer,TCGA-BQ-5887-Cancer,TCGA-BQ-5887-Normal,TCGA-BQ-5888-Cancer,TCGA-BQ-5888-Normal,TCGA-BQ-5889-Cancer,TCGA-BQ-5890-Cancer,TCGA-BQ-5890-Normal,TCGA-BQ-5891-Cancer,TCGA-BQ-5891-Normal,TCGA-BQ-5892-Cancer,TCGA-BQ-5893-Cancer,TCGA-BQ-5894-Cancer,TCGA-BQ-5894-Normal,TCGA-BQ-7044-Cancer,TCGA-BQ-7044-Normal,TCGA-BQ-7045-Cancer,TCGA-BQ-7045-Normal,TCGA-BQ-7046-Cancer,TCGA-BQ-7046-Normal,TCGA-BQ-7048-Cancer,TCGA-BQ-7049-Cancer,TCGA-BQ-7051-Cancer,TCGA-BQ-7051-Normal,TCGA-BQ-7053-Cancer,TCGA-BQ-7056-Cancer,TCGA-BQ-7058-Cancer,TCGA-BQ-7059-Cancer,TCGA-BQ-7059-Normal,TCGA-BQ-7060-Cancer,TCGA-BQ-7061-Cancer,TCGA-BQ-7061-Normal,TCGA-BQ-7062-Cancer,TCGA-DW-5560-Cancer,TCGA-DW-5561-Cancer,TCGA-DW-7834-Cancer,TCGA-DW-7836-Cancer,TCGA-DW-7837-Cancer,TCGA-DW-7838-Cancer,TCGA-DW-7839-Cancer,TCGA-DW-7840-Cancer,TCGA-DW-7841-Cancer,TCGA-DZ-6131-Normal,TCGA-DZ-6132-Cancer,TCGA-DZ-6132-Normal,TCGA-DZ-6133-Cancer,TCGA-DZ-6133-Normal,TCGA-DZ-6134-Cancer,TCGA-DZ-6134-Normal,TCGA-DZ-6135-Cancer,TCGA-EV-5901-Cancer,TCGA-EV-5902-Cancer,TCGA-EV-5903-Cancer,TCGA-F9-A4JJ-Cancer,TCGA-F9-A7Q0-Cancer,TCGA-F9-A7VF-Cancer,TCGA-F9-A8NY-Cancer,TCGA-F9-A97G-Cancer,TCGA-G7-6789-Cancer,TCGA-G7-6790-Cancer,TCGA-G7-6792-Cancer,TCGA-G7-6793-Cancer,TCGA-G7-6795-Cancer,TCGA-G7-6796-Cancer,TCGA-G7-6797-Cancer,TCGA-G7-7501-Cancer,TCGA-G7-7502-Cancer,TCGA-G7-A4TM-Cancer,TCGA-G7-A8LB-Cancer,TCGA-G7-A8LC-Cancer,TCGA-G7-A8LD-Cancer,TCGA-G7-A8LE-Cancer,TCGA-GL-6846-Cancer,TCGA-GL-6846-Normal,TCGA-GL-7773-Cancer,TCGA-GL-7966-Cancer,TCGA-GL-7966-Normal,TCGA-GL-8500-Cancer,TCGA-GL-A4EM-Cancer,TCGA-GL-A59R-Cancer,TCGA-GL-A59R-Normal,TCGA-GL-A59T-Cancer,TCGA-GL-A9DC-Cancer,TCGA-GL-A9DD-Cancer,TCGA-GL-A9DE-Cancer,TCGA-GL-A9DE-Normal,TCGA-HE-7128-Cancer,TCGA-HE-7129-Cancer,TCGA-HE-7130-Cancer,TCGA-HE-A5NF-Cancer,TCGA-HE-A5NH-Cancer,TCGA-HE-A5NI-Cancer,TCGA-HE-A5NJ-Cancer,TCGA-HE-A5NK-Cancer,TCGA-HE-A5NL-Cancer,TCGA-IA-A40U-Cancer,TCGA-IA-A40X-Cancer,TCGA-IA-A40Y-Cancer,TCGA-IA-A83S-Cancer,TCGA-IA-A83T-Cancer,TCGA-IA-A83V-Cancer,TCGA-IA-A83W-Cancer,TCGA-IZ-8195-Cancer,TCGA-IZ-8196-Cancer,TCGA-IZ-A6M8-Cancer,TCGA-IZ-A6M9-Cancer,TCGA-J7-8537-Cancer,TCGA-J7-A8I2-Cancer,TCGA-KV-A6GD-Cancer,TCGA-KV-A6GE-Cancer,TCGA-KV-A74V-Cancer,TCGA-MH-A55W-Cancer,TCGA-MH-A55Z-Cancer,TCGA-MH-A560-Cancer,TCGA-MH-A561-Cancer,TCGA-MH-A562-Cancer,TCGA-MH-A854-Cancer,TCGA-MH-A855-Cancer,TCGA-MH-A856-Cancer,TCGA-MH-A857-Cancer,TCGA-O9-A75Z-Cancer,TCGA-P4-A5E6-Cancer,TCGA-P4-A5E7-Cancer,TCGA-P4-A5E8-Cancer,TCGA-P4-A5E8-Normal,TCGA-P4-A5EA-Cancer,TCGA-P4-A5EB-Cancer,TCGA-P4-A5ED-Cancer,TCGA-P4-A5ED-Normal,TCGA-P4-AAVL-Cancer,TCGA-P4-AAVM-Cancer,TCGA-P4-AAVO-Cancer,TCGA-PJ-A5Z8-Cancer,TCGA-PJ-A5Z9-Cancer,TCGA-Q2-A5QZ-Cancer,TCGA-SX-A71R-Cancer,TCGA-SX-A71S-Cancer,TCGA-SX-A71U-Cancer,TCGA-SX-A71V-Cancer,TCGA-SX-A71W-Cancer,TCGA-SX-A7SL-Cancer,TCGA-SX-A7SM-Cancer,TCGA-SX-A7SN-Cancer,TCGA-SX-A7SO-Cancer,TCGA-SX-A7SP-Cancer,TCGA-SX-A7SQ-Cancer,TCGA-SX-A7SR-Cancer,TCGA-SX-A7SS-Cancer,TCGA-SX-A7SU-Cancer,TCGA-UN-AAZ9-Cancer,TCGA-UZ-A9PJ-Cancer,TCGA-UZ-A9PK-Cancer,TCGA-UZ-A9PL-Cancer,TCGA-UZ-A9PM-Cancer,TCGA-UZ-A9PN-Cancer,TCGA-UZ-A9PO-Cancer,TCGA-UZ-A9PP-Cancer,TCGA-UZ-A9PQ-Cancer,TCGA-UZ-A9PR-Cancer,TCGA-UZ-A9PS-Cancer,TCGA-UZ-A9PU-Cancer,TCGA-UZ-A9PV-Cancer,TCGA-UZ-A9PX-Cancer,TCGA-UZ-A9PZ-Cancer,TCGA-UZ-A9Q0-Cancer,TCGA-UZ-A9Q1-Cancer,TCGA-V9-A7HT-Cancer,TCGA-WN-A9G9-Cancer,TCGA-WN-AB4C-Cancer,TCGA-Y8-A894-Cancer,TCGA-Y8-A895-Cancer,TCGA-Y8-A896-Cancer,TCGA-Y8-A897-Cancer,TCGA-Y8-A898-Cancer,TCGA-Y8-A8RY-Cancer,TCGA-Y8-A8RY-Normal,TCGA-Y8-A8RZ-Cancer,TCGA-Y8-A8S1-Cancer
Bcells,0.0072042212575604,0.0077627454872342795,0.0091690676406681,0.00358266594067258,0.00385221482194491,0.00498192868955522,0.00271670198594836,0.0044596234560096105,0.00949893317647391,0.00357284045342098,0.00633850818401775,0.0389033006119409,0.00504314507864705,0.00998441989611356,0.0263247373090495,0.0122766543363065,0.0085640758553094,0.00237342871870804,0.00305718166271126,0.00586072640730075,0.00482233366868804,0.00216089463544305,0.00218480103923476,0.0068668635375166,0.0350527813525567,0.00284700644031065,0.00815745579762967,0.00480012073717571,0.00344262913517729,0.00510013829094161,0.0051205673930826605,0.0022819191781135104,0.00424295292878296,0.0041772795480722,0.0150792371862046,0.0109386634097839,0.05840826340689299,0.00615540005297544,0.00608144705657514,0.0032709303362071897,0.0218264631798591,0.0026643932466766398,0.0512840937342299,0.0055682877837620205,0.00532037441144661,0.0038637445222226103,0.00787061472755365,0.00120885876229786,0.00655500968338268,0.00758432299862721,0.00636868832007796,0.00666403457083371,0.0061089940593255605,0.00899841635373091,0.0037509002454568204,0.00334427129881283,0.009297752459271941,0.00573572639534127,0.00455338007430445,0.005341547962585021,0.00506662251975695,0.00840874232883579,0.0081569102820553,0.0144894623415352,0.00416960784217927,0.0135352079746087,0.00294713138927723,0.00663153572739531,0.0056989252284477395,0.0178034907423879,0.00259911800849229,0.0072698174075259405,0.0227446678136892,0.0066261900061141,0.0111861935964252,0.00304905103700049,0.00467917893331256,0.00519751221513023,0.0074858250364494205,0.0187458220522369,0.007100806327336009,0.008127934082734309,0.009187371934053341,0.0053704730401307,0.00299815768447318,0.00293087128303793,0.00981042836799067,0.008666866733382409,0.0104180624893419,0.0065299400121010395,0.00648679557473502,0.00523855909620224,0.005344350633865,0.00631909657324295,0.00685046097625774,0.0103586119212633,0.00654594867942817,0.0170172097044264,0.0117997836603122,0.00765281360407263,0.00548988093056227,0.006127487240623579,0.0046130064506634105,0.00486215036703686,0.00623033057823161,0.00526512101419701,0.00527637685794753,0.004274303741711271,0.008879597679693959,0.0036616025907120703,0.0086027047997206,0.00968171876118513,0.0112439687609582,0.00545589206161833,0.0043703616529243,0.013016036579737,0.00484364481401471,0.0130840210833664,0.007916820539330759,0.0135961709962021,0.0118241982004454,0.00174110177528343,0.00776297115652803,0.0112927482382214,0.00908968096341058,0.00949516745276832,0.0200077093440827,0.00232213470514627,0.00453193928279826,0.00377476065127913,0.0107223703848943,0.0231782085605159,0.0213896677813075,0.0280662630330352,0.00360895631037615,0.0279078987328263,0.00301560165413839,0.0118781087334255,0.008057846815632309,0.00549799172409537,0.00856305333636575,0.0122397015858256,0.00822239504974095,0.0134386032757304,0.0056286129397811,0.0283929566445225,0.00493719407002979,0.0336116820946602,0.00590425906324936,0.072821759156199,0.00564817394494965,0.0173495295440194,0.0090408931858914,0.0013272898365752,0.00333340591648984,0.00512645751140763,0.0125471102311628,0.00617978001162081,0.00510072954761192,0.0119380487911125,0.00411723533383288,0.00546525361350185,0.00567606524708974,0.00444142646050376,0.00429306587093073,0.00572146760899081,0.007520620095936509,0.00702116222904918,0.00773408766849715,0.0123987779569191,0.0106086166231871,0.00206775472498909,0.0165968846435938,0.00413423725946584,0.0124116572664349,0.0192775702046244,0.0316106386693574,0.0189137869830938,0.0137816103980282,0.0025315580600148,0.00943572655365885,0.0115848963423707,0.00495124295660604,0.0018870425689339102,0.00538275087278448,0.0112346697720417,0.00160483342937314,0.009839203144339191,0.00687631690676761,0.00466690978579139,0.0043154784384065,0.0249123379488606,0.00586953844486385,0.00595835201909201,0.00524486310693841,0.00907571537651052,0.0036313891850504702,0.00538944055302473,0.0103961769414701,0.007313480315652421,0.00656869597626801,0.0142308281608999,0.006725448590271871,0.00557842527347023,0.0145099603487613,0.00646235858562022,0.0177784136611476,0.00625813647184596,0.0142920839344586,0.0047954074556799,0.00537862822565612,0.00327677175661152,0.00822988290682956,0.0141964428438306,0.007188534870229091,0.0062720558244042,0.008589569109311879,0.00813066837481366,0.00705123193234085,0.00406419127660542,0.00569120160502629,0.00382311263359879,0.0046470384272566,0.00683547215491123,0.00543960729566105,0.00413715104848478,0.00693666858059212,0.006778957369929679,0.00790259106589031,0.0116543647147,0.00808774672308709,0.00757400568537468,0.00573890489682684,0.0042474291358454395,0.00901413132875001,0.00632836631804949,0.0140821557745806,0.00313777592859255,0.00691279258613194,0.00759999446297425,0.00474866080741179,0.007632213827034909,0.0159160827124317,0.00222046608959301,0.0027067540248119,0.0084423268171546,0.00746883238443,0.009699366145072441,0.007098567725660809,0.0018391012645188301,0.00625528589274759,0.00516384243701435,0.0138371206501092,0.12297861148633199,0.0070359609177173,0.0046775895228637,0.0149165437087904,0.00246780370651886,0.0076781865075749,0.00617820501527695,0.00922906866021281,0.00494892848949355,0.00708881651489605,0.00592820872034522,0.00839227919071563,0.007958524459665,0.0107852914621397,0.00742230201791102,0.00321179149214412,0.00544489044161103,0.00470652685832273,0.008659438972983609,0.00573585878276484,0.00804600168679495,0.0073600046456496,0.00700374648365768,0.0051293173389135,0.007238363963883091,0.00545725796706985,0.00595425983964189,0.00451205479203206,0.00852424209462382,0.0115018211071093,0.0106499436170164,0.0066958187686786295,0.00678344882150849,0.00574007118921929,0.007707377387244859,0.0053255350912861,0.0052564891073936795,0.00621367999111664,0.00350277497658984,0.0035108326909835397,0.00930234818204315,0.007389420319024559,0.0082849478786954,0.005347905846357129,0.0077034917957481295,0.00574257439178449,0.00586258021147,0.00666018313221701,0.00510801576889679,0.0042143832130928,0.0144404846613013,0.00695645152451799,0.0270043383722541
CAFs,0.00848107414481459,0.007347323543207629,0.012004257776316002,0.00415624429173046,0.0106717250397101,0.00515402423458772,0.0035741487482969,0.0196137673958697,0.00617075370478897,0.00551707889448017,0.00578014962685381,0.0148031461408695,0.0291984646947603,0.10481345115588099,0.0102439958924191,0.00832062999230711,0.00646351950410026,0.0068463744237830795,0.00586417142421813,0.009864370928761,0.0106537197871728,0.00261332271044198,0.00713519732927306,0.00962073712231844,0.0512487622529191,0.0267374513206639,0.054859072506537,0.0136973045945791,0.00546718268178717,0.00394416802346397,0.00230363295720219,0.00772443612255687,0.00390391216852464,0.00948024924669112,0.00205052528154902,0.0541243176857231,0.0195224778254142,0.0261090233770954,0.00604777439261225,0.0185904372789624,0.00422821788055949,0.009636891276900891,0.0303303351780271,0.0127678015091327,0.00627976165187122,0.00290895122443193,0.0201362898004348,0.0036935403730235204,0.0148860095647029,0.0194122862688493,0.0514053203027797,0.00665919730454079,0.0115746065544589,0.0056577989989640394,0.00575285849950155,0.00628227518455973,0.0055346944769816605,0.010479662857004,0.00481771876709343,0.0035678711165189,0.0036388787026476,0.0083579532737024,0.00704214864816553,0.012534811148024,0.0115361693670505,0.0217580741122752,0.00500200284108272,0.00836772592751117,0.00447960114040578,0.0381275144287068,0.00814876793765908,0.0261016741137768,0.0132867091441251,0.0335809918962536,0.0017882960873047398,0.005728539108334121,0.00919367247735675,0.016421382959589,0.0178404366093069,0.0127557233384142,0.008552158318732959,0.00266918423445315,0.00626057456521418,0.00616210980716371,0.0058872144711474604,0.007236689547426259,0.00842264670842381,0.0062988719203487895,0.11470373416773598,0.00807944402710322,0.00770596557238672,0.0231088435974873,0.0126200833309477,0.029002295062493997,0.00313533510412294,0.00808539678262692,0.00843182337015683,0.0171612324597595,0.0107286438797246,0.0184948314202565,0.00629321753908439,0.007068284455808909,0.0161092852657551,0.00196984089000563,0.0300812242072203,0.0048707211649073705,0.00471497327663465,0.00782241243243885,0.0200371142145811,0.0108286184794994,0.00286362452701655,0.0045723949464957295,0.0318534182520212,0.0453091371945217,0.0346394471427715,0.008370607716835891,0.0038622804487353298,0.0165122329844916,0.0264291589237522,0.0142907155028811,0.0283515970126449,0.00251691333483517,0.00942489708685024,0.014727648568241,0.00817960474916294,0.00562528439567878,0.0125608476249631,0.0235721593123397,0.007509006359830841,0.14993930923351598,0.0184523623330345,0.00899771979609972,0.0173023561779364,0.0410692338343771,0.00953795487671215,0.0498978148076119,0.00289593695466881,0.0199471429750817,0.0273819625071207,0.0186288495544283,0.0623918403157678,0.0119121841381548,0.00228386748867408,0.0166988204011565,0.00177979301224643,0.0563749429642957,0.00494339295755956,0.0119518686653114,0.00894541360465582,0.0297702616659652,0.010029267549940001,0.0157655007904941,0.0120149679307474,0.0348703328304816,0.0281784685539891,0.0106515070900093,0.0251143863401774,0.00537563809479684,0.0160097907101019,0.0149489617927,0.0038940229118397704,0.00705111721656316,0.00493587091636573,0.00831107275064898,0.0123606041061089,0.00642243071714755,0.0133800532518434,0.0021552639797141303,0.0136231621862257,0.0134041265707807,0.008240680518392959,0.0205776855600455,0.0394694998713514,0.0037587982802553704,0.008653551383579379,0.0130787754091876,0.0278064181499211,0.0077676792806116,0.0202681759375621,0.00713641267572562,0.0200965957239045,0.0116075885434722,0.0457591315562035,0.00931087995480667,0.008794856054896421,0.0358899825357399,0.14375382576704698,0.00779663237217046,0.00380719202902155,0.0632714388135022,0.00313650398382805,0.0376635071917861,0.0100271721911717,0.00631117740869393,0.0153174143777624,0.0113270755696865,0.00931670894545408,0.00522241586004439,0.0104533068400831,0.0226199970394128,0.0347981519822827,0.0167531657810696,0.00735203272713349,0.0158297769042359,0.0168690410937719,0.00277280490599145,0.0141774485196613,0.0036912113210494798,0.0168156906495303,0.00625634614157277,0.00620367580184316,0.0164974119573295,0.00793117616383899,0.0169798073568433,0.006445031122694229,0.0111259738937795,0.0106681044364961,0.00803228954207531,0.0047404186368432705,0.00912333291544191,0.023449005112327,0.0244531801258539,0.006585316614793,0.00812495869380496,0.00780981538606033,0.0131019353369838,0.00462383459642164,0.00647646907111907,0.0370455131450435,0.0153185971841346,0.0213652469240012,0.0183451478209951,0.00455382767990872,0.00301758284541621,0.0176022168030126,0.00951691125403753,0.0166051646206967,0.00487655079292099,0.00771632234945613,0.00347684459885126,0.0137970899751409,0.006576688086345771,0.0158208828428911,0.00534689086964681,0.00895806892965653,0.0230951064189037,0.0165308680426782,0.00525959951832981,0.0083878677019422,0.0170137589158213,0.0168078375919484,0.00842622613589702,0.0191157610710472,0.0616193147247063,0.005559743121050471,0.0140336110939967,0.0145586917461195,0.0632190362504546,0.00863665133965843,0.00343795650237237,0.0180614775453311,0.00350945564257319,0.008426872790391329,0.00919348900823673,0.0177834095433546,0.00991420999786487,0.00579543362303122,0.0119669202976049,0.0044265897158104,0.028291451343008,0.003590011742115,0.00682877328519476,0.00591431676906085,0.0160127159505857,0.0068171986613087205,0.0116303249339912,0.0140900347558607,0.008427875288736859,0.00648780361613107,0.0059327740633163895,0.0047629982614853204,0.0052367099723796,0.138324993580066,0.00682963608214201,0.0148137695580713,0.0218332156052317,0.006302202045262321,0.0139011442021074,0.0047912918208715,0.00402718399879382,0.008559070272490659,0.0088173232266396,0.0115308215834784,0.00467203665733368,0.00838271189175765,0.0189520746358775,0.0045666403902877,0.00781368074590303,0.005123879014751771,0.0154196926665063,0.0177162833857673,0.0054911447494697,0.00589670120176491,0.0167431542594038,0.004765766177592921,0.0401634251146228
CD4_Tcells,0.096322845796051,0.0976707749244966,0.0682425876989318,0.0674342860456248,0.0888324763650168,0.103783225323702,0.0545944081691707,0.0656708416839691,0.149616973179829,0.0538264021898401,0.10547357075805601,0.0639165806478033,0.0970202579239979,0.10474127311599601,0.102705433632835,0.17661633604389398,0.114633080879299,0.0538853532345038,0.0510918823488167,0.12058768795842,0.0932173612974822,0.0614583769946302,0.0624070798938532,0.111736229349575,0.0851976917689839,0.0509081244568644,0.10346457437224099,0.0726820737668483,0.062522252813794,0.0934998705168106,0.0921827034629178,0.051245204775823,0.0473830082947856,0.0538444441433915,0.21059324415214398,0.12430365820022501,0.12909928411761398,0.089706361637858,0.0938715315628088,0.0852231570758038,0.16172279119688096,0.0502690782087334,0.10446741542577,0.0862568742116137,0.120791214292589,0.0769811203811554,0.12342729026100802,0.0535887061605246,0.101634335221784,0.07578361517765402,0.0630887880462487,0.12445799753013599,0.09232049619538199,0.10908148324871199,0.0649450896398558,0.0791907884917368,0.13230571811255198,0.0793408820765867,0.08589585807873999,0.0928542278435097,0.0974231592824569,0.148262327385808,0.146199459579793,0.18532754909429397,0.0602217178235082,0.157913047043229,0.0653851828009878,0.11471449482648802,0.0878466447370246,0.129670084089153,0.0619838261259728,0.0988679056021709,0.0656574292961516,0.064406413139426,0.17716980225056,0.0587659116047016,0.0885239039068994,0.059818435959214995,0.0734766899003827,0.0807584300903976,0.0970526002811281,0.108895658583143,0.14491233580338098,0.0783505440677151,0.0813160354330762,0.059996176033483,0.0569269502288905,0.14973832351388597,0.0644300882336678,0.140799230613289,0.0902534461503474,0.0855504176727135,0.0738170476141762,0.0940117427715683,0.10555348434020402,0.120323854947363,0.0755687322859874,0.173680534726074,0.102042373437126,0.0900697038311466,0.0647102971626304,0.0968118434015016,0.126371270875859,0.0715868846627763,0.0660693503091672,0.0975645706649698,0.0970845587408579,0.0820784305995044,0.0866241436812421,0.0880447908475046,0.11586633938607199,0.164179144225159,0.141413156635532,0.104154799088783,0.103099457765156,0.18742479723017302,0.0922499016046011,0.196596343881413,0.0974034811086908,0.197591848528517,0.0932127772499166,0.0478828909197445,0.0663199594772639,0.16248557664510502,0.15583802868353602,0.166320715933513,0.198857983829966,0.0546026463162262,0.0612345463226099,0.071832939557136,0.16081021966188097,0.0506002351550925,0.117954679330636,0.112114422495509,0.0708145343159902,0.17101663230257,0.0606954350077739,0.17153809238806303,0.103775593074481,0.0859113211014425,0.086413587746261,0.16764267214444198,0.0742210698777237,0.158863793768746,0.0952090606744624,0.197589360266582,0.103164611371566,0.401181342377192,0.0753371190186121,0.103061494063705,0.0981934030296803,0.18134060878968106,0.0916093296674831,0.0436482037425634,0.0425905782160005,0.10755856753086,0.16338783871002202,0.117639311547869,0.0794946825310639,0.135642760662253,0.124779037297496,0.0414793545136647,0.0875246365844676,0.0955982859836518,0.0747012887610573,0.10511010386748301,0.11549977579007599,0.11568750519546699,0.0977538893512351,0.16437808532103698,0.16312808501105702,0.0780897209660264,0.15057923622317002,0.0845756036186945,0.17308316767986498,0.124301703890761,0.19218538606882002,0.0905847062106313,0.14478010791613002,0.0510181417874187,0.11343931777485801,0.110403102637354,0.0752139158033382,0.0547946734964528,0.0852950218043837,0.13182589351154197,0.0492022116402489,0.162065336139194,0.122504155852173,0.057029418309705995,0.0861984105494763,0.0651244747972581,0.110399081390188,0.0804912683494965,0.10287199026771002,0.0956466127759206,0.0457501175389337,0.0661196246806123,0.135438623905933,0.129744407305389,0.0780700252463503,0.17544226696672302,0.0828256206162987,0.0850636294035924,0.175349953465452,0.0925538972277863,0.138171157253569,0.099875186862473,0.174858633373741,0.0774806879921874,0.0866436537025818,0.104597085523581,0.0852980406726272,0.175502701296414,0.12458931655948499,0.0935590026979354,0.082145834555409,0.125213783812487,0.107930705048416,0.0700203722597228,0.083582993936616,0.0809687822676317,0.0866882804013238,0.105555198731554,0.0852616691538542,0.0723409414990458,0.10221521146084599,0.0834510746077971,0.11105915279569302,0.0843313120874203,0.0859057771318638,0.115638191230196,0.0854060070859711,0.0794448831429629,0.0628454915389449,0.127297093399748,0.104609374242902,0.0868492685968114,0.0955705512172551,0.18995377110607103,0.0835107935648873,0.10456763345464802,0.106841106616609,0.0419734507400195,0.0562609473711608,0.12235881851962101,0.0633184163475887,0.14303718360718698,0.0965164485666827,0.0522891268485603,0.11868732890578698,0.10367449291428699,0.15648008648663198,0.116561891953356,0.11309390280235801,0.0980542016047591,0.193549250898517,0.0544681530307369,0.108675073064905,0.0858068518207176,0.131492239757306,0.0694378481003238,0.0974512910216651,0.0557574419603182,0.11713962437279599,0.102315038485604,0.142252982110053,0.124986644017112,0.0526096639838193,0.0828411386762447,0.0944466083659145,0.12157527076243001,0.10515481169821499,0.0887011522718248,0.104835861955828,0.0750457076163677,0.0726448416261958,0.0973786561974957,0.0910886670319299,0.11754605066977199,0.0756586575318447,0.0714564211737266,0.12259352834177699,0.125302770693207,0.100600879655391,0.0766492093302985,0.0941952212402677,0.11756657255730302,0.0918281147839425,0.0749062747298065,0.0974257321224747,0.0548698524788869,0.0431273501486696,0.1319983555295,0.0962100566728709,0.10749374051242698,0.0699641021870346,0.12041029328543701,0.0924220256787022,0.0898970470810313,0.106625586776904,0.0920540263229253,0.0889665765710912,0.175482750569759,0.09690739367203201,0.0552289841553493
